"mid","mname","gid","gname","score"
24,"hsa-miR-101-5p",1615,"BRCA1",1
148,"hsa-miR-124-3p",1615,"BRCA1",1
252,"hsa-miR-1307-3p",1615,"BRCA1",1
339,"hsa-miR-16-5p",1615,"BRCA1",1
452,"hsa-miR-21-5p",1615,"BRCA1",1
453,"hsa-miR-210-3p",1615,"BRCA1",1
472,"hsa-miR-216a-3p",1615,"BRCA1",1
514,"hsa-miR-25-3p",1615,"BRCA1",1
705,"hsa-miR-32-5p",1615,"BRCA1",1
752,"hsa-miR-34a-5p",1615,"BRCA1",1
780,"hsa-miR-3619-5p",1615,"BRCA1",1
940,"hsa-miR-3934-3p",1615,"BRCA1",1
941,"hsa-miR-3934-5p",1615,"BRCA1",1
1064,"hsa-miR-433-3p",1615,"BRCA1",1
1136,"hsa-miR-448",1615,"BRCA1",1
1199,"hsa-miR-4524a-3p",1615,"BRCA1",1
1200,"hsa-miR-4524a-5p",1615,"BRCA1",1
1395,"hsa-miR-4738-3p",1615,"BRCA1",1
1492,"hsa-miR-4798-3p",1615,"BRCA1",1
1508,"hsa-miR-485-5p",1615,"BRCA1",1
1532,"hsa-miR-497-5p",1615,"BRCA1",1
1801,"hsa-miR-556-5p",1615,"BRCA1",1
2026,"hsa-miR-6504-5p",1615,"BRCA1",1
2334,"hsa-miR-6838-5p",1615,"BRCA1",1
2422,"hsa-miR-6884-5p",1615,"BRCA1",1
2561,"hsa-miR-8073",1615,"BRCA1",1
2613,"hsa-miR-92a-3p",1615,"BRCA1",1
2614,"hsa-miR-92b-3p",1615,"BRCA1",1
196,"hsa-miR-127-5p",1615,"BRCA1",0.99999988079071
208,"hsa-miR-1278",1615,"BRCA1",0.99999988079071
334,"hsa-miR-15a-5p",1615,"BRCA1",0.99999988079071
468,"hsa-miR-214-3p",1615,"BRCA1",0.99999988079071
612,"hsa-miR-3135a",1615,"BRCA1",0.99999988079071
1223,"hsa-miR-455-5p",1615,"BRCA1",0.99999988079071
1601,"hsa-miR-512-3p",1615,"BRCA1",0.99999988079071
2266,"hsa-miR-6804-5p",1615,"BRCA1",0.99999988079071
2567,"hsa-miR-8079",1615,"BRCA1",0.99999988079071
2580,"hsa-miR-873-5p",1615,"BRCA1",0.99999988079071
2636,"hsa-miR-96-3p",1615,"BRCA1",0.99999988079071
2640,"hsa-miR-98-5p",1615,"BRCA1",0.99999988079071
23,"hsa-miR-101-3p",1615,"BRCA1",0.999999761581421
292,"hsa-miR-143-5p",1615,"BRCA1",0.999999761581421
835,"hsa-miR-3681-3p",1615,"BRCA1",0.999999761581421
1065,"hsa-miR-433-5p",1615,"BRCA1",0.999999761581421
2054,"hsa-miR-6516-5p",1615,"BRCA1",0.999999761581421
808,"hsa-miR-3661",1615,"BRCA1",0.999999642372131
1303,"hsa-miR-4681",1615,"BRCA1",0.999999642372131
4,"hsa-let-7b-5p",1615,"BRCA1",0.999999523162842
1088,"hsa-miR-4436a",1615,"BRCA1",0.999999523162842
1101,"hsa-miR-4446-3p",1615,"BRCA1",0.999999523162842
1474,"hsa-miR-4786-5p",1615,"BRCA1",0.999999523162842
1891,"hsa-miR-580-5p",1615,"BRCA1",0.999999523162842
2596,"hsa-miR-889-5p",1615,"BRCA1",0.999999523162842
416,"hsa-miR-199b-3p",1615,"BRCA1",0.999999403953552
6,"hsa-let-7c-5p",1615,"BRCA1",0.999999284744263
375,"hsa-miR-1909-5p",1615,"BRCA1",0.999999284744263
1988,"hsa-miR-628-5p",1615,"BRCA1",0.999999284744263
1325,"hsa-miR-4695-5p",1615,"BRCA1",0.999999046325684
613,"hsa-miR-3135b",1615,"BRCA1",0.999998927116394
2272,"hsa-miR-6807-5p",1615,"BRCA1",0.999998927116394
63,"hsa-miR-106b-5p",1615,"BRCA1",0.999998807907104
736,"hsa-miR-338-3p",1615,"BRCA1",0.999998807907104
1336,"hsa-miR-4703-3p",1615,"BRCA1",0.999998807907104
1242,"hsa-miR-4645-3p",1615,"BRCA1",0.999998688697815
1296,"hsa-miR-4676-5p",1615,"BRCA1",0.999998688697815
1861,"hsa-miR-5697",1615,"BRCA1",0.999998688697815
1541,"hsa-miR-5000-3p",1615,"BRCA1",0.999998450279236
212,"hsa-miR-128-3p",1615,"BRCA1",0.999998331069946
890,"hsa-miR-378a-5p",1615,"BRCA1",0.999998211860657
2418,"hsa-miR-6882-5p",1615,"BRCA1",0.999998211860657
92,"hsa-miR-1203",1615,"BRCA1",0.999998092651367
931,"hsa-miR-3924",1615,"BRCA1",0.999998092651367
2094,"hsa-miR-6718-5p",1615,"BRCA1",0.999997854232788
176,"hsa-miR-125b-1-3p",1615,"BRCA1",0.999997615814209
8,"hsa-let-7d-5p",1615,"BRCA1",0.999997496604919
1217,"hsa-miR-4538",1615,"BRCA1",0.99999737739563
2448,"hsa-miR-708-3p",1615,"BRCA1",0.99999737739563
2598,"hsa-miR-891a-3p",1615,"BRCA1",0.99999737739563
311,"hsa-miR-148b-3p",1615,"BRCA1",0.99999725818634
2504,"hsa-miR-764",1615,"BRCA1",0.99999725818634
509,"hsa-miR-24-1-5p",1615,"BRCA1",0.999997138977051
414,"hsa-miR-199a-3p",1615,"BRCA1",0.999997019767761
969,"hsa-miR-411-5p",1615,"BRCA1",0.999997019767761
1137,"hsa-miR-4480",1615,"BRCA1",0.999996900558472
320,"hsa-miR-152-3p",1615,"BRCA1",0.999996423721314
2182,"hsa-miR-6764-5p",1615,"BRCA1",0.999996423721314
337,"hsa-miR-16-1-3p",1615,"BRCA1",0.999996304512024
1216,"hsa-miR-4537",1615,"BRCA1",0.999996304512024
539,"hsa-miR-29a-3p",1615,"BRCA1",0.999996066093445
1316,"hsa-miR-4690-5p",1615,"BRCA1",0.999996066093445
1858,"hsa-miR-5694",1615,"BRCA1",0.999996066093445
2551,"hsa-miR-8063",1615,"BRCA1",0.999996066093445
2654,"hsa-miR-99b-3p",1615,"BRCA1",0.999995112419128
486,"hsa-miR-22-3p",1615,"BRCA1",0.999994993209839
1847,"hsa-miR-5685",1615,"BRCA1",0.999994993209839
1911,"hsa-miR-595",1615,"BRCA1",0.99999475479126
193,"hsa-miR-1269a",1615,"BRCA1",0.999994277954102
2279,"hsa-miR-6811-3p",1615,"BRCA1",0.999994277954102
2,"hsa-let-7a-5p",1615,"BRCA1",0.999994158744812
2470,"hsa-miR-7151-3p",1615,"BRCA1",0.999994158744812
546,"hsa-miR-300",1615,"BRCA1",0.999993562698364
943,"hsa-miR-3936",1615,"BRCA1",0.999992966651916
1890,"hsa-miR-580-3p",1615,"BRCA1",0.999992966651916
272,"hsa-miR-135a-3p",1615,"BRCA1",0.999992847442627
2538,"hsa-miR-7978",1615,"BRCA1",0.999992728233337
1388,"hsa-miR-4733-3p",1615,"BRCA1",0.9999920129776
1897,"hsa-miR-584-5p",1615,"BRCA1",0.9999920129776
2047,"hsa-miR-6513-3p",1615,"BRCA1",0.99999189376831
394,"hsa-miR-192-5p",1615,"BRCA1",0.999991774559021
1495,"hsa-miR-4799-5p",1615,"BRCA1",0.999991774559021
336,"hsa-miR-15b-5p",1615,"BRCA1",0.999991536140442
2599,"hsa-miR-891a-5p",1615,"BRCA1",0.999991416931152
1149,"hsa-miR-4490",1615,"BRCA1",0.999991297721863
1352,"hsa-miR-4712-5p",1615,"BRCA1",0.999990820884705
1978,"hsa-miR-622",1615,"BRCA1",0.999990463256836
1658,"hsa-miR-519d-3p",1615,"BRCA1",0.999990105628967
2280,"hsa-miR-6811-5p",1615,"BRCA1",0.999989628791809
291,"hsa-miR-143-3p",1615,"BRCA1",0.999989151954651
406,"hsa-miR-196b-3p",1615,"BRCA1",0.999988913536072
544,"hsa-miR-29c-3p",1615,"BRCA1",0.999988555908203
1161,"hsa-miR-449b-5p",1615,"BRCA1",0.999988555908203
583,"hsa-miR-31-5p",1615,"BRCA1",0.999987959861755
1233,"hsa-miR-4638-5p",1615,"BRCA1",0.999987602233887
988,"hsa-miR-4259",1615,"BRCA1",0.999987483024597
949,"hsa-miR-3941",1615,"BRCA1",0.99998664855957
1272,"hsa-miR-4662a-5p",1615,"BRCA1",0.99998664855957
1113,"hsa-miR-4457",1615,"BRCA1",0.999986410140991
1856,"hsa-miR-5692c",1615,"BRCA1",0.999986171722412
1215,"hsa-miR-4536-5p",1615,"BRCA1",0.999984979629517
781,"hsa-miR-362-3p",1615,"BRCA1",0.999983668327332
2615,"hsa-miR-92b-5p",1615,"BRCA1",0.999982953071594
1809,"hsa-miR-5580-3p",1615,"BRCA1",0.999982833862305
2589,"hsa-miR-885-3p",1615,"BRCA1",0.999980568885803
1189,"hsa-miR-451a",1615,"BRCA1",0.999980211257935
1819,"hsa-miR-5585-3p",1615,"BRCA1",0.999979019165039
2520,"hsa-miR-7844-5p",1615,"BRCA1",0.999977469444275
1654,"hsa-miR-519b-3p",1615,"BRCA1",0.999976277351379
2570,"hsa-miR-8082",1615,"BRCA1",0.999972224235535
697,"hsa-miR-3194-3p",1615,"BRCA1",0.999971151351929
1208,"hsa-miR-4529-5p",1615,"BRCA1",0.99997079372406
1165,"hsa-miR-4501",1615,"BRCA1",0.999970078468323
848,"hsa-miR-3689b-5p",1615,"BRCA1",0.999968528747559
2621,"hsa-miR-936",1615,"BRCA1",0.99996829032898
2652,"hsa-miR-99a-3p",1615,"BRCA1",0.999967694282532
846,"hsa-miR-3689a-5p",1615,"BRCA1",0.999967336654663
1202,"hsa-miR-4524b-5p",1615,"BRCA1",0.999965786933899
2579,"hsa-miR-873-3p",1615,"BRCA1",0.999965786933899
473,"hsa-miR-216a-5p",1615,"BRCA1",0.999964475631714
