"mid","mname","gid","gname","score"
123,"hsa-miR-122-5p",90,"ABHD2",1
123,"hsa-miR-122-5p",93,"ABHD5",1
123,"hsa-miR-122-5p",112,"ABT1",1
123,"hsa-miR-122-5p",161,"ACOT13",1
123,"hsa-miR-122-5p",162,"ACOT2",1
123,"hsa-miR-122-5p",172,"ACP1",1
123,"hsa-miR-122-5p",186,"ACSL3",1
123,"hsa-miR-122-5p",248,"ADAM15",1
123,"hsa-miR-122-5p",285,"ADAMTSL1",1
123,"hsa-miR-122-5p",292,"ADAR",1
123,"hsa-miR-122-5p",296,"ADAT2",1
123,"hsa-miR-122-5p",310,"ADCY9",1
123,"hsa-miR-122-5p",311,"ADCYAP1",1
123,"hsa-miR-122-5p",339,"ADGRL1",1
123,"hsa-miR-122-5p",382,"ADSL",1
123,"hsa-miR-122-5p",389,"AFAP1",1
123,"hsa-miR-122-5p",395,"AFF3",1
123,"hsa-miR-122-5p",410,"AGAP9",1
123,"hsa-miR-122-5p",424,"AGO1",1
123,"hsa-miR-122-5p",425,"AGO2",1
123,"hsa-miR-122-5p",439,"AGTPBP1",1
123,"hsa-miR-122-5p",442,"AGTRAP",1
123,"hsa-miR-122-5p",449,"AHDC1",1
123,"hsa-miR-122-5p",473,"AJUBA",1
123,"hsa-miR-122-5p",502,"AKNA",1
123,"hsa-miR-122-5p",525,"ALCAM",1
123,"hsa-miR-122-5p",658,"ANK1",1
123,"hsa-miR-122-5p",664,"ANKEF1",1
123,"hsa-miR-122-5p",734,"ANKS1A",1
123,"hsa-miR-122-5p",737,"ANKS4B",1
123,"hsa-miR-122-5p",790,"AP1S3",1
123,"hsa-miR-122-5p",797,"AP3B2",1
123,"hsa-miR-122-5p",849,"APOBEC3F",1
123,"hsa-miR-122-5p",868,"APOLD1",1
123,"hsa-miR-122-5p",871,"APOOL",1
123,"hsa-miR-122-5p",947,"ARHGAP42",1
123,"hsa-miR-122-5p",1070,"ARSD",1
123,"hsa-miR-122-5p",1140,"ASPH",1
123,"hsa-miR-122-5p",1179,"ATG12",1
123,"hsa-miR-122-5p",1185,"ATG2B",1
123,"hsa-miR-122-5p",1205,"ATOX1",1
123,"hsa-miR-122-5p",1238,"ATP5F1A",1
123,"hsa-miR-122-5p",1242,"ATP5F1E",1
123,"hsa-miR-122-5p",1270,"ATP6V1C1",1
123,"hsa-miR-122-5p",1298,"ATRX",1
123,"hsa-miR-122-5p",1358,"B3GNTL1",1
123,"hsa-miR-122-5p",1434,"BCAS1",1
123,"hsa-miR-122-5p",1455,"BCL2L13",1
123,"hsa-miR-122-5p",1464,"BCL7B",1
123,"hsa-miR-122-5p",1487,"BEND4",1
123,"hsa-miR-122-5p",1542,"BLOC1S3",1
123,"hsa-miR-122-5p",1567,"BMPR2",1
123,"hsa-miR-122-5p",1606,"BPIFC",1
123,"hsa-miR-122-5p",1652,"BSND",1
123,"hsa-miR-122-5p",1677,"BTG3",1
123,"hsa-miR-122-5p",1691,"BTRC",1
123,"hsa-miR-122-5p",1698,"BVES",1
123,"hsa-miR-122-5p",1790,"C1D",1
123,"hsa-miR-122-5p",1907,"C4orf33",1
123,"hsa-miR-122-5p",1931,"C6orf141",1
123,"hsa-miR-122-5p",1973,"CA13",1
123,"hsa-miR-122-5p",2018,"CACNG1",1
123,"hsa-miR-122-5p",2056,"CALML4",1
123,"hsa-miR-122-5p",2133,"CARNS1",1
123,"hsa-miR-122-5p",2139,"CASK",1
123,"hsa-miR-122-5p",2199,"CBX1",1
123,"hsa-miR-122-5p",2206,"CBX8",1
123,"hsa-miR-122-5p",2220,"CCDC106",1
123,"hsa-miR-122-5p",2224,"CCDC113",1
123,"hsa-miR-122-5p",2229,"CCDC120",1
123,"hsa-miR-122-5p",2235,"CCDC127",1
123,"hsa-miR-122-5p",2356,"CCKBR",1
123,"hsa-miR-122-5p",2381,"CCL7",1
123,"hsa-miR-122-5p",2434,"CCS",1
123,"hsa-miR-122-5p",2459,"CD180",1
123,"hsa-miR-122-5p",2554,"CDC27",1
123,"hsa-miR-122-5p",2603,"CDH6",1
