"Category","Term","Count","Percent","Fold","P.value","Bonferroni","FDR","miRNA"
"Function","Apoptosis",8,0.0754717,9.46091644,3.03e-07,0.00016,1.52e-05,"hsa-mir-16-2,hsa-mir-101-1,hsa-mir-210,hsa-mir-16-1,hsa-mir-34a,hsa-mir-101-2,hsa-mir-216a,hsa-mir-21"
"Function","DNA Damage Repair",4,0.21052632,26.39097744,9.19e-06,0.00485,0.000252,"hsa-mir-101-2,hsa-mir-210,hsa-mir-34a,hsa-mir-101-1"
"Function","Hormone-mediated Signaling Pathway ",9,0.15517241,19.45197044,4.4e-11,2.32e-08,3.86e-08,"hsa-mir-34a,hsa-mir-124-2,hsa-mir-101-2,hsa-mir-16-1,hsa-mir-124-1,hsa-mir-16-2,hsa-mir-101-1,hsa-mir-21,hsa-mir-124-3"
"Function","Immune Response",7,0.07608696,9.53804348,2.21e-06,0.00116,7.31e-05,"hsa-mir-16-2,hsa-mir-101-1,hsa-mir-210,hsa-mir-16-1,hsa-mir-101-2,hsa-mir-25,hsa-mir-21"
"Function","Inflammation",9,0.08035714,10.07334184,1.96e-08,1.04e-05,2.3e-06,"hsa-mir-124-2,hsa-mir-101-1,hsa-mir-210,hsa-mir-124-3,hsa-mir-34a,hsa-mir-101-2,hsa-mir-124-1,hsa-mir-25,hsa-mir-21"
"Function","Cell Cycle",8,0.09638554,12.08261618,4.27e-08,2.25e-05,3.41e-06,"hsa-mir-34a,hsa-mir-124-2,hsa-mir-16-1,hsa-mir-124-1,hsa-mir-16-2,hsa-mir-21,hsa-mir-210,hsa-mir-124-3"
"Function","Cell Differentiation",7,0.125,15.66964286,6.65e-08,3.51e-05,4.49e-06,"hsa-mir-34a,hsa-mir-124-2,hsa-mir-16-1,hsa-mir-124-1,hsa-mir-16-2,hsa-mir-210,hsa-mir-124-3"
"Function","Cell Division",6,0.35294118,44.24369748,8.85e-10,4.66e-07,2.22e-07,"hsa-mir-124-2,hsa-mir-124-1,hsa-mir-16-2,hsa-mir-34a,hsa-mir-124-3,hsa-mir-16-1"
"Function","Cell Proliferation",8,0.1,12.53571429,3.17e-08,1.67e-05,3.27e-06,"hsa-mir-34a,hsa-mir-124-2,hsa-mir-16-1,hsa-mir-124-1,hsa-mir-16-2,hsa-mir-21,hsa-mir-210,hsa-mir-124-3"
"Function","Embryonic Development ",5,0.29411765,36.8697479,8.53e-08,4.49e-05,5.54e-06,"hsa-mir-124-2,hsa-mir-124-1,hsa-mir-34a,hsa-mir-124-3,hsa-mir-21"
"Function","Epithelial-to-Mesenchymal Transition",6,0.07228916,9.06196213,2.07e-05,0.0109,0.000472,"hsa-mir-34a,hsa-mir-124-2,hsa-mir-124-1,hsa-mir-21,hsa-mir-210,hsa-mir-124-3"
"Function","Glucose Metabolism",4,0.14285714,17.90816327,4.66e-05,0.0246,0.000909,"hsa-mir-34a,hsa-mir-124-2,hsa-mir-124-1,hsa-mir-124-3"
"Function","Osteogenesis",5,0.08474576,10.62348668,5.75e-05,0.0303,0.00107,"hsa-mir-34a,hsa-mir-124-2,hsa-mir-124-1,hsa-mir-21,hsa-mir-124-3"
"Function","Smooth Muscle Cell Proliferation",4,0.22222222,27.85714286,7.29e-06,0.00384,0.00021,"hsa-mir-124-2,hsa-mir-124-1,hsa-mir-124-3,hsa-mir-21"
"Function","Aging",4,0.06349206,7.95918367,0.00115,0.6075,0.0112,"hsa-mir-34a,hsa-mir-16-1,hsa-mir-16-2,hsa-mir-21"
"Function","Angiogenesis",5,0.07692308,9.64285714,9.24e-05,0.0487,0.00146,"hsa-mir-34a,hsa-mir-16-1,hsa-mir-16-2,hsa-mir-21,hsa-mir-210"
"Function","Cell Death",6,0.07692308,9.64285714,1.44e-05,0.00758,0.000341,"hsa-mir-34a,hsa-mir-16-1,hsa-mir-16-2,hsa-mir-25,hsa-mir-21,hsa-mir-210"
"Disease","Adenovirus Infection",4,0.11111111,13.92857143,0.000129,0.0681,0.00195,"hsa-mir-34a,hsa-mir-101-2,hsa-mir-101-1,hsa-mir-210"
"Disease","Alzheimer's Disease",7,0.07,8.775,3.92e-06,0.00206,0.000118,"hsa-mir-124-2,hsa-mir-101-1,hsa-mir-124-3,hsa-mir-34a,hsa-mir-101-2,hsa-mir-124-1,hsa-mir-21"
"Disease","Diabetes Mellitus, Type 2",7,0.04761905,5.96938776,5.23e-05,0.0276,0.000987,"hsa-mir-124-2,hsa-mir-101-1,hsa-mir-124-3,hsa-mir-34a,hsa-mir-101-2,hsa-mir-124-1,hsa-mir-21"
"Disease","Liver Cirrhosis",4,0.07017544,8.79699248,0.000786,0.4143,0.00797,"hsa-mir-34a,hsa-mir-101-2,hsa-mir-101-1,hsa-mir-21"
"Disease","Preeclampsia",6,0.08108108,10.16409266,1.05e-05,0.00556,0.00028,"hsa-mir-34a,hsa-mir-101-2,hsa-mir-101-1,hsa-mir-25,hsa-mir-21,hsa-mir-210"
"Disease","Acute Myocardial Infarction",5,0.10869565,13.6257764,1.67e-05,0.00878,0.00039,"hsa-mir-34a,hsa-mir-124-2,hsa-mir-124-1,hsa-mir-21,hsa-mir-124-3"
